date,value
2021-06-03,3.8165
2021-06-04,3.797
2021-06-07,3.797
2021-06-08,3.8048
2021-06-09,3.8147
2021-06-10,3.7932
2021-06-11,3.7878
2021-06-14,3.7967
2021-06-15,3.8042
2021-06-16,3.8178
2021-06-17,3.813
2021-06-18,3.8484
2021-06-21,3.8147
2021-06-22,3.7999
2021-06-23,3.7958
2021-06-24,3.7916
2021-06-25,3.7874
2021-06-28,3.7891
2021-06-29,3.7922
2021-06-30,3.79
2021-07-01,3.7858
2021-07-02,3.7808
2021-07-06,3.7973
2021-07-07,3.7944
2021-07-08,3.828
2021-07-09,3.7942
2021-07-12,3.794
2021-07-13,3.8054
2021-07-14,3.796
2021-07-15,3.8041
2021-07-16,3.8214
2021-07-19,3.87
2021-07-20,3.8368
2021-07-21,3.8149
2021-07-22,3.8123
2021-07-23,3.8064
2021-07-26,3.811
2021-07-27,3.8323
2021-07-28,3.8197
2021-07-29,3.8124
2021-07-30,3.8189
2021-08-02,3.8335
2021-08-03,3.8165
2021-08-04,3.8156
2021-08-05,3.8074
2021-08-06,3.7938
2021-08-09,3.8006
2021-08-10,3.8015
2021-08-11,3.794
2021-08-12,3.7871
2021-08-13,3.7854
2021-08-16,3.7934
2021-08-17,3.8149
2021-08-18,3.8588
2021-08-19,3.86
2021-08-20,3.8227
2021-08-23,3.8058
2021-08-24,3.8066
2021-08-25,3.8015
2021-08-26,3.8261
2021-08-27,3.7967
2021-08-30,3.7943
2021-08-31,3.7978
2021-09-01,3.7933
2021-09-02,3.7969
2021-09-03,3.7969
2021-09-07,3.8177
2021-09-08,3.8155
2021-09-09,3.8256
2021-09-10,3.8514
2021-09-13,3.8324
2021-09-14,3.8335
2021-09-15,3.8182
2021-09-16,3.8243
2021-09-17,3.8497
2021-09-20,3.9085
2021-09-21,3.8923
2021-09-22,3.8504
2021-09-23,3.8236
2021-09-24,3.813
2021-09-27,3.8251
2021-09-28,3.879
2021-09-29,3.8707
2021-09-30,3.8777
2021-10-01,3.8532
2021-10-04,3.8755
2021-10-05,3.8556
2021-10-06,3.852
2021-10-07,3.8345
2021-10-08,3.8252
2021-10-11,3.84
2021-10-12,3.8382
2021-10-13,3.8237
2021-10-14,3.8023
2021-10-15,3.7956
2021-10-18,3.7957
2021-10-19,3.7884
2021-10-20,3.7859
2021-10-21,3.7801
2021-10-22,3.7852
2021-10-25,3.7829
2021-10-26,3.7918
2021-10-27,3.8038
2021-10-28,3.7984
2021-10-29,3.7951
2021-11-01,3.7969
2021-11-02,3.7924
2021-11-03,3.7812
2021-11-04,3.7853
2021-11-05,3.7978
2021-11-08,3.8066
2021-11-09,3.8134
2021-11-10,3.8248
2021-11-11,3.8119
2021-11-12,3.7955
2021-11-15,3.7979
2021-11-16,3.7964
2021-11-17,3.8053
2021-11-18,3.8111
2021-11-19,3.8149
2021-11-22,3.83
2021-11-23,3.8326
2021-11-24,3.823
2021-11-26,3.9434
2021-11-29,3.8755
2021-11-30,3.9263
2021-12-01,3.9734
2021-12-02,3.9354
2021-12-03,3.968
2021-12-06,3.9262
2021-12-07,3.8627
2021-12-08,3.8388
2021-12-09,3.859
2021-12-10,3.8243
2021-12-13,3.8437
2021-12-14,3.8627
2021-12-15,3.8315
2021-12-16,3.8468
2021-12-17,3.8588
2021-12-20,3.8744
2021-12-21,3.8521
2021-12-22,3.8236
2021-12-23,3.8155
2021-12-27,3.8122
2021-12-28,3.8105
2021-12-29,3.8034
2021-12-30,3.808
2021-12-31,3.8066
2022-01-03,3.7992
2022-01-04,3.8029
2022-01-05,3.8368
2022-01-06,3.8353
2022-01-07,3.8251
2022-01-10,3.8328
2022-01-11,3.8209
2022-01-12,3.8114
2022-01-13,3.8437
2022-01-14,3.8303
2022-01-18,3.8735
2022-01-19,3.8862
2022-01-20,3.9071
2022-01-21,3.9462
2022-01-24,3.9588
2022-01-25,3.9739
2022-01-26,3.9835
2022-01-27,3.9659
2022-01-28,3.9319
2022-01-31,3.898
2022-02-01,3.8635
2022-02-02,3.8651
2022-02-03,3.8922
2022-02-04,3.8786
2022-02-07,3.8743
2022-02-08,3.8573
2022-02-09,3.8395
2022-02-10,3.8869
2022-02-11,3.9283
2022-02-14,3.94
2022-02-15,3.9084
2022-02-16,3.8915
2022-02-17,3.9373
2022-02-18,3.933
2022-02-22,3.9457
2022-02-23,3.9722
2022-02-24,3.9638
2022-02-25,3.9311
2022-02-28,3.9618
2022-03-01,3.9998
2022-03-02,3.9689
2022-03-03,3.9658
2022-03-04,3.9838
2022-03-07,4.0374
2022-03-08,4.0216
2022-03-09,3.9894
2022-03-10,3.9628
2022-03-11,3.969
2022-03-14,3.9812
2022-03-15,3.958
2022-03-16,3.92
2022-03-17,3.908
2022-03-18,3.8864
2022-03-21,3.8824
2022-03-22,3.8753
2022-03-23,3.8828
2022-03-24,3.86
2022-03-25,3.8497
2022-03-28,3.8356
2022-03-29,3.8268
2022-03-30,3.832
2022-03-31,3.8467
2022-04-01,3.8356
2022-04-04,3.8228
2022-04-05,3.8524
2022-04-06,3.8652
2022-04-07,3.8586
2022-04-08,3.8539
2022-04-11,3.8924
2022-04-12,3.8911
2022-04-13,3.8618
2022-04-14,3.8724
2022-04-18,3.866
2022-04-19,3.8564
2022-04-20,3.8438
2022-04-21,3.8722
2022-04-22,3.9385
2022-04-25,3.9242
2022-04-26,4.0022
2022-04-27,3.9792
2022-04-28,3.9599
2022-04-29,4.0008
2022-05-02,3.9881
2022-05-03,3.951
2022-05-04,3.905
2022-05-05,3.9744
2022-05-06,3.9623
2022-05-09,4.017
2022-05-10,3.9959
2022-05-11,3.9907
2022-05-12,3.9812
2022-05-13,3.9464
2022-05-16,3.9296
2022-05-17,3.9132
2022-05-18,3.9715
2022-05-19,3.9522
2022-05-20,3.9532
2022-05-23,3.9418
2022-05-24,3.9534
2022-05-25,3.9404
2022-05-26,3.93
2022-05-27,3.9086
2022-05-31,3.9143
2022-06-01,3.9083
2022-06-02,3.8966
2022-06-03,3.8975
2022-06-06,3.9008
2022-06-07,3.8882
2022-06-08,3.8875
2022-06-09,3.9131
2022-06-10,3.933
2022-06-13,4.0082
2022-06-14,3.9923
2022-06-15,3.9554
2022-06-16,3.9954
2022-06-17,3.9736
2022-06-21,3.9623
2022-06-22,3.9474
2022-06-23,3.9486
2022-06-24,3.9268
2022-06-27,3.9234
2022-06-28,3.9403
2022-06-29,3.9379
2022-06-30,3.9445
2022-07-01,3.9204
2022-07-05,3.9305
2022-07-06,3.9208
2022-07-07,3.913
2022-07-08,3.8957
2022-07-11,3.914
2022-07-12,3.9275
2022-07-13,3.9218
2022-07-14,3.9168
2022-07-15,3.8908
2022-07-18,3.9036
2022-07-19,3.894
2022-07-20,3.8866
2022-07-21,3.8773
2022-07-22,3.8764
2022-07-25,3.8803
2022-07-26,3.8963
2022-07-27,3.8789
2022-07-28,3.868
2022-07-29,3.856
2022-08-01,3.8741
2022-08-02,3.8872
2022-08-03,3.8634
2022-08-04,3.8573
2022-08-05,3.8538
2022-08-08,3.8555
2022-08-09,3.8612
2022-08-10,3.8369
2022-08-11,3.8424
2022-08-12,3.8344
2022-08-15,3.8394
2022-08-16,3.8363
2022-08-17,3.8388
2022-08-18,3.8347
2022-08-19,3.8472
2022-08-22,3.8856
2022-08-23,3.8893
2022-08-24,3.8738
2022-08-25,3.8614
2022-08-26,3.9067
2022-08-29,3.9145
2022-08-30,3.9145
2022-08-31,3.9104
2022-09-01,3.9067
2022-09-02,3.9056
2022-09-06,3.9229
2022-09-07,3.8957
2022-09-08,3.8833
2022-09-09,3.8735
2022-09-12,3.8864
2022-09-13,3.9272
2022-09-14,3.9139
2022-09-15,3.9152
2022-09-16,3.9156
2022-09-19,3.9091
2022-09-20,3.9259
2022-09-21,3.9359
2022-09-22,3.9282
2022-09-23,3.959
2022-09-26,3.9871
2022-09-27,3.9912
2022-09-28,3.9622
2022-09-29,3.9821
2022-09-30,3.9794
2022-10-03,3.9612
2022-10-04,3.9488
2022-10-05,3.9426
2022-10-06,3.9662
2022-10-07,3.9763
2022-10-10,3.9894
2022-10-11,4.0036
2022-10-12,4.0028
2022-10-13,3.9833
2022-10-14,3.9842
2022-10-17,3.9764
2022-10-18,3.966
2022-10-19,3.9691
2022-10-20,3.9598
2022-10-21,3.9563
2022-10-24,3.9582
2022-10-25,3.9415
2022-10-26,3.9274
2022-10-27,3.9287
2022-10-28,3.909
2022-10-31,3.9106
2022-11-01,3.9097
2022-11-02,3.9103
2022-11-03,3.9036
2022-11-04,3.8946
2022-11-07,3.8922
2022-11-08,3.9065
2022-11-09,3.9131
2022-11-10,3.8824
2022-11-11,3.8702
2022-11-14,3.8848
2022-11-15,3.8945
2022-11-16,3.8893
2022-11-17,3.8872
2022-11-18,3.8774
2022-11-21,3.8683
2022-11-22,3.8555
2022-11-23,3.8442
2022-11-25,3.846
2022-11-28,3.8665
2022-11-29,3.8627
2022-11-30,3.847
2022-12-01,3.8381
2022-12-02,3.8287
2022-12-05,3.849
2022-12-06,3.866
2022-12-07,3.8722
2022-12-08,3.8675
2022-12-09,3.874
2022-12-12,3.9
2022-12-13,3.8706
2022-12-14,3.8537
2022-12-15,3.874
2022-12-16,3.8714
2022-12-19,3.869
2022-12-20,3.8578
2022-12-21,3.8408
2022-12-22,3.8636
2022-12-23,3.8504
2022-12-27,3.8598
2022-12-28,3.8657
2022-12-29,3.8573
2022-12-30,3.86
2023-01-03,3.8748
2023-01-04,3.8641
2023-01-05,3.8695
2023-01-06,3.8536
2023-01-09,3.8636
2023-01-10,3.847
2023-01-11,3.8531
2023-01-12,3.826
2023-01-13,3.8202
2023-01-17,3.8323
2023-01-18,3.8441
2023-01-19,3.8462
2023-01-20,3.8382
2023-01-23,3.8377
2023-01-24,3.8304
2023-01-25,3.829
2023-01-26,3.8248
2023-01-27,3.8221
2023-01-30,3.8393
2023-01-31,3.8328
2023-02-01,3.8144
2023-02-02,3.8248
2023-02-03,3.82
2023-02-06,3.8332
2023-02-07,3.8239
2023-02-08,3.8356
2023-02-09,3.8485
2023-02-10,3.8464
2023-02-13,3.8441
2023-02-14,3.8269
2023-02-15,3.8188
2023-02-16,3.842
2023-02-17,3.8402
2023-02-21,3.8744
2023-02-22,3.8675
2023-02-23,3.8537
2023-02-24,3.86
2023-02-27,3.8514
2023-02-28,3.8484
2023-03-01,3.847
2023-03-02,3.8351
2023-03-03,3.8219
2023-03-06,3.8233
2023-03-07,3.8351
2023-03-08,3.8293
2023-03-09,3.8713
2023-03-10,3.8976
2023-03-13,3.9182
2023-03-14,3.8848
2023-03-15,3.9137
2023-03-16,3.8759
2023-03-17,3.9061
2023-03-20,3.8898
2023-03-21,3.8566
2023-03-22,3.8671
2023-03-23,3.8713
2023-03-24,3.8609
2023-03-27,3.8472
2023-03-28,3.8396
2023-03-29,3.8294
2023-03-30,3.8282
2023-03-31,3.8244
2023-04-03,3.8226
2023-04-04,3.828
2023-04-05,3.829
2023-04-06,3.8208
2023-04-10,3.8276
2023-04-11,3.8292
2023-04-12,3.8291
2023-04-13,3.8136
2023-04-14,3.8048
2023-04-17,3.8034
2023-04-18,3.802
2023-04-19,3.7975
2023-04-20,3.806
2023-04-21,3.8012
2023-04-24,3.8027
2023-04-25,3.8251
2023-04-26,3.8261
2023-04-27,3.8044
2023-04-28,3.7894
2023-05-01,3.793
2023-05-02,3.8134
2023-05-03,3.8201
2023-05-04,3.8411
2023-05-05,3.8063
2023-05-08,3.8038
2023-05-09,3.8125
2023-05-10,3.8033
2023-05-11,3.8032
2023-05-12,3.8044
2023-05-15,3.8054
2023-05-16,3.8159
2023-05-17,3.8024
2023-05-18,3.7926
2023-05-19,3.8017
2023-05-22,3.8065
2023-05-23,3.8224
2023-05-24,3.8404
2023-05-25,3.8297
2023-05-26,3.8154
2023-05-30,3.8095
2023-05-31,3.8153
2023-06-01,3.7878
2023-06-02,3.7752
2023-06-05,3.7768
2023-06-06,3.7675
2023-06-07,3.7673
2023-06-08,3.7638
2023-06-09,3.766
2023-06-12,3.7801
2023-06-13,3.7753
2023-06-14,3.7666
2023-06-15,3.774
2023-06-16,3.7625
2023-06-20,3.7666
2023-06-21,3.7584
2023-06-22,3.7549
2023-06-23,3.7613
2023-06-26,3.771
2023-06-27,3.7649
2023-06-28,3.7612
2023-06-29,3.7625
2023-06-30,3.7631
2023-07-03,3.7628
2023-07-05,3.7702
2023-07-06,3.7853
2023-07-07,3.778
2023-07-10,3.7808
2023-07-11,3.7781
2023-07-12,3.7625
2023-07-13,3.7633
2023-07-14,3.7601
2023-07-17,3.7618
2023-07-18,3.7596
2023-07-19,3.7651
2023-07-20,3.7679
2023-07-21,3.7632
2023-07-24,3.7669
2023-07-25,3.7663
2023-07-26,3.7583
2023-07-27,3.7729
2023-07-28,3.76
2023-07-31,3.7636
2023-08-01,3.7672
2023-08-02,3.7931
2023-08-03,3.791
2023-08-04,3.8052
2023-08-07,3.7892
2023-08-08,3.7919
2023-08-09,3.7915
2023-08-10,3.7902
2023-08-11,3.7781
2023-08-14,3.7778
2023-08-15,3.7975
2023-08-16,3.8014
2023-08-17,3.8147
2023-08-18,3.8076
2023-08-21,3.8056
2023-08-22,3.8036
2023-08-23,3.7918
2023-08-24,3.8064
2023-08-25,3.7882
2023-08-28,3.781
2023-08-29,3.7734
2023-08-30,3.7666
2023-08-31,3.7628
2023-09-01,3.7571
2023-09-05,3.7681
2023-09-06,3.7734
2023-09-07,3.7728
2023-09-08,3.7661
2023-09-11,3.7656
2023-09-12,3.7708
2023-09-13,3.7618
2023-09-14,3.7538
2023-09-15,3.7655
2023-09-18,3.768
2023-09-19,3.7693
2023-09-20,3.7817
2023-09-21,3.8105
2023-09-22,3.8064
2023-09-25,3.8028
2023-09-26,3.8273
2023-09-27,3.8186
2023-09-28,3.8081
2023-09-29,3.8102
2023-10-02,3.8113
2023-10-03,3.8374
2023-10-04,3.823
2023-10-05,3.8219
2023-10-06,3.8094
2023-10-09,3.8124
2023-10-10,3.8044
2023-10-11,3.7931
2023-10-12,3.8003
2023-10-13,3.8318
2023-10-16,3.8065
2023-10-17,3.8146
2023-10-18,3.8306
2023-10-19,3.8568
2023-10-20,3.8605
2023-10-23,3.8444
2023-10-24,3.8276
2023-10-25,3.8423
2023-10-26,3.8482
2023-10-27,3.8552
2023-10-30,3.837
2023-10-31,3.8177
2023-11-01,3.8024
2023-11-02,3.7879
2023-11-03,3.7789
2023-11-06,3.7787
2023-11-07,3.7777
2023-11-08,3.7734
2023-11-09,3.7835
2023-11-10,3.77
2023-11-13,3.7771
2023-11-14,3.7699
2023-11-15,3.7702
2023-11-16,3.7718
2023-11-17,3.7656
2023-11-20,3.7609
2023-11-21,3.7602
2023-11-22,3.7542
2023-11-24,3.7495
2023-11-27,3.7523
2023-11-28,3.7523
2023-11-29,3.7558
2023-11-30,3.755
2023-12-01,3.7516
2023-12-04,3.757
2023-12-05,3.7542
2023-12-06,3.7556
2023-12-07,3.7567
2023-12-08,3.7482
2023-12-11,3.7516
2023-12-12,3.7448
2023-12-13,3.7463
2023-12-14,3.7498
2023-12-15,3.7474
2023-12-18,3.7507
2023-12-19,3.7504
2023-12-20,3.764
2023-12-21,3.7638
2023-12-22,3.7564
2023-12-26,3.7559
2023-12-27,3.7492
2023-12-28,3.7496
2023-12-29,3.7494
2024-01-02,3.7584
2024-01-03,3.7685
2024-01-04,3.7696
2024-01-05,3.7602
2024-01-08,3.757
2024-01-09,3.7531
2024-01-10,3.7523
2024-01-11,3.7493
2024-01-12,3.7524
2024-01-16,3.7661
2024-01-17,3.7775
2024-01-18,3.7696
2024-01-19,3.7596
2024-01-22,3.7583
2024-01-23,3.7506
2024-01-24,3.7577
2024-01-25,3.7614
2024-01-26,3.7591
2024-01-29,3.7632
2024-01-30,3.7597
2024-01-31,3.7722
2024-02-01,3.7666
2024-02-02,3.7662
2024-02-05,3.764
2024-02-06,3.7567
2024-02-07,3.754
2024-02-08,3.7535
2024-02-09,3.7552
2024-02-12,3.7672
2024-02-13,3.7902
2024-02-14,3.7726
2024-02-15,3.7681
2024-02-16,3.7709
2024-02-20,3.785
2024-02-21,3.7841
2024-02-22,3.7745
2024-02-23,3.765
2024-02-26,3.7649
2024-02-27,3.7612
2024-02-28,3.7661
2024-02-29,3.7608
2024-03-01,3.7573
2024-03-04,3.7619
2024-03-05,3.7735
2024-03-06,3.774
2024-03-07,3.7733
2024-03-08,3.7769
2024-03-11,3.7826
2024-03-12,3.7661
2024-03-13,3.765
2024-03-14,3.7728
2024-03-15,3.7729
2024-03-18,3.772
2024-03-19,3.7658
2024-03-20,3.7565
2024-03-21,3.755
2024-03-22,3.7567
2024-03-25,3.7583
2024-03-26,3.7589
2024-03-27,3.7534
2024-03-28,3.7561
2024-04-01,3.7638
2024-04-02,3.7753
2024-04-03,3.772
2024-04-04,3.7962
2024-04-05,3.7924
2024-04-08,3.7823
2024-04-09,3.7798
2024-04-10,3.7896
2024-04-11,3.7789
2024-04-12,3.8077
2024-04-15,3.8308
2024-04-16,3.8208
2024-04-17,3.8185
2024-04-18,3.816
2024-04-19,3.8245
2024-04-22,3.8033
2024-04-23,3.7883
2024-04-24,3.7916
2024-04-25,3.7844
2024-04-26,3.7804
2024-04-29,3.776
2024-04-30,3.7878
2024-05-01,3.7847
2024-05-02,3.7762
2024-05-03,3.7619
2024-05-06,3.7619
2024-05-07,3.7588
2024-05-08,3.756
2024-05-09,3.7523
2024-05-10,3.7506
2024-05-13,3.7632
2024-05-14,3.761
2024-05-15,3.7494
2024-05-16,3.749
2024-05-17,3.7439
2024-05-20,3.7458
2024-05-21,3.7423
2024-05-22,3.7475
2024-05-23,3.7532
2024-05-24,3.7432
2024-05-28,3.755
2024-05-29,3.7714
2024-05-30,3.7736
2024-05-31,3.755
2024-06-03,3.7573
2024-06-04,3.7579
2024-06-05,3.7516
2024-06-06,3.751
2024-06-07,3.7466
2024-06-10,3.7529
2024-06-11,3.7542
2024-06-12,3.7445
2024-06-13,3.7433
2024-06-14,3.7519
2024-06-17,3.753
2024-06-18,3.7476
2024-06-20,3.7594
2024-06-21,3.7584
2024-06-24,3.76
2024-06-25,3.7541
2024-06-26,3.7506
2024-06-27,3.7469
2024-06-28,3.7493
2024-07-01,3.7466
2024-07-02,3.7444
2024-07-03,3.7451
2024-07-05,3.7498
2024-07-08,3.7484
2024-07-09,3.7501
2024-07-10,3.7542
2024-07-11,3.755
2024-07-12,3.7495
2024-07-15,3.7574
2024-07-16,3.7583
2024-07-17,3.7738
2024-07-18,3.7912
2024-07-19,3.7982
2024-07-22,3.7789
2024-07-23,3.7766
2024-07-24,3.8165
2024-07-25,3.8215
2024-07-26,3.7967
2024-07-29,3.7992
2024-07-30,3.8123
2024-07-31,3.7963
2024-08-01,3.8231
2024-08-02,3.8807
2024-08-05,4.0628
2024-08-06,3.9325
2024-08-07,3.9342
2024-08-08,3.8855
2024-08-09,3.8444
2024-08-12,3.8485
2024-08-13,3.8174
2024-08-14,3.7943
2024-08-15,3.7828
2024-08-16,3.7776
2024-08-19,3.7758
2024-08-20,3.7906
2024-08-21,3.7952
2024-08-22,3.8106
2024-08-23,3.7903
2024-08-26,3.7938
2024-08-27,3.7852
2024-08-28,3.8053
2024-08-29,3.7878
2024-08-30,3.78
2024-09-03,3.8486
2024-09-04,3.8558
2024-09-05,3.8388
2024-09-06,3.8686
2024-09-09,3.8334
2024-09-10,3.829
2024-09-11,3.8123
2024-09-12,3.8048
2024-09-13,3.7987
2024-09-16,3.8057
2024-09-17,3.8113
2024-09-18,3.8188
2024-09-19,3.796
2024-09-20,3.7938
2024-09-23,3.7907
2024-09-24,3.7847
2024-09-25,3.7849
2024-09-26,3.7844
2024-09-27,3.8035
2024-09-30,3.8008
2024-10-01,3.8311
2024-10-02,3.8268
2024-10-03,3.8459
2024-10-04,3.8305
2024-10-07,3.8717
2024-10-08,3.857
2024-10-09,3.8503
2024-10-10,3.8512
2024-10-11,3.8455
2024-10-14,3.8364
2024-10-15,3.8477
2024-10-16,3.835
2024-10-17,3.8293
2024-10-18,3.8164
2024-10-21,3.8204
2024-10-22,3.8184
2024-10-23,3.8309
2024-10-24,3.829
2024-10-25,3.844
2024-10-28,3.8376
2024-10-29,3.8321
2024-10-30,3.8442
2024-10-31,3.8779
2024-11-01,3.8626
2024-11-04,3.8638
2024-11-05,3.8459
2024-11-06,3.7952
2024-11-07,3.7824
2024-11-08,3.7793
2024-11-11,3.7796
2024-11-12,3.7765
2024-11-13,3.7682
2024-11-14,3.7717
2024-11-15,3.7937
2024-11-18,3.787
2024-11-19,3.7962
2024-11-20,3.8059
2024-11-21,3.8024
2024-11-22,3.7829
2024-11-25,3.7752
2024-11-26,3.7692
2024-11-27,3.7692
2024-11-29,3.7621
2024-12-02,3.7601
2024-12-03,3.7596
2024-12-04,3.7614
2024-12-05,3.7625
2024-12-06,3.7532
2024-12-09,3.7703
2024-12-10,3.7702
2024-12-11,3.763
2024-12-12,3.767
2024-12-13,3.7657
2024-12-16,3.7763
2024-12-17,3.7904
2024-12-18,3.9314
2024-12-19,3.8891
2024-12-20,3.8203
2024-12-23,3.8014
2024-12-24,3.7712
2024-12-26,3.7768
2024-12-27,3.7914
2024-12-30,3.8088
2024-12-31,3.8082
2025-01-02,3.8152
2025-01-03,3.7936
2025-01-06,3.7925
2025-01-07,3.8138
2025-01-08,3.8124
2025-01-10,3.8345
2025-01-13,3.8303
2025-01-14,3.8245
2025-01-15,3.7934
2025-01-16,3.7992
2025-01-17,3.7916
2025-01-21,3.7807
2025-01-22,3.7812
2025-01-23,3.7802
2025-01-24,3.7782
2025-01-27,3.8148
2025-01-28,3.7969
2025-01-29,3.7987
2025-01-30,3.7901
2025-01-31,3.7972
2025-02-03,3.8234
2025-02-04,3.8065
2025-02-05,3.7892
2025-02-06,3.786
2025-02-07,3.7985
2025-02-10,3.7897
2025-02-11,3.7922
2025-02-12,3.7907
2025-02-13,3.7812
2025-02-14,3.7772
2025-02-18,3.7842
2025-02-19,3.7832
2025-02-20,3.7879
2025-02-21,3.8185
2025-02-24,3.8278
2025-02-25,3.8332
2025-02-26,3.8292
2025-02-27,3.8536
2025-02-28,3.8356
2025-03-03,3.8734
2025-03-04,3.8821
2025-03-05,3.8632
2025-03-06,3.8984
2025-03-07,3.8804
2025-03-10,3.9343
2025-03-11,3.923
2025-03-12,3.8908
2025-03-13,3.8959
2025-03-14,3.8612
2025-03-17,3.8461
2025-03-18,3.8604
2025-03-19,3.8388
2025-03-20,3.8376
2025-03-21,3.8314
2025-03-24,3.8098
2025-03-25,3.8058
2025-03-26,3.82
2025-03-27,3.8243
2025-03-28,3.8598
2025-03-31,3.8674
2025-04-01,3.8612
2025-04-02,3.8581
2025-04-03,3.9602
2025-04-04,4.1437
2025-04-07,4.1638
2025-04-08,4.228
2025-04-09,4.0034
2025-04-10,4.0886
2025-04-11,4.0507
2025-04-14,3.9707
2025-04-15,3.9614
2025-04-16,3.9917
2025-04-17,3.9558
2025-04-21,4.0058
2025-04-22,3.9668
2025-04-23,3.9414
2025-04-24,3.9176
2025-04-25,3.8981
2025-04-28,3.9018
2025-04-29,3.89
2025-04-30,3.8964
2025-05-01,3.8952
2025-05-02,3.8722
2025-05-05,3.8837
2025-05-06,3.8971
2025-05-07,3.8826
2025-05-08,3.8698
2025-05-09,3.8628
2025-05-12,3.8207
2025-05-13,3.8186
2025-05-14,3.8234
2025-05-15,3.814
2025-05-16,3.8069
2025-05-19,3.8177
2025-05-20,3.8171
2025-05-21,3.8504
2025-05-22,3.8434
2025-05-23,3.8675
2025-05-27,3.8275
2025-05-28,3.8317
2025-05-29,3.8302
2025-05-30,3.8228
2025-06-02,3.8203
2025-06-03,3.8123
2025-06-04,3.8113
2025-06-05,3.8218
2025-06-06,3.8012
2025-06-09,3.8059
2025-06-10,3.8034
2025-06-11,3.8071
2025-06-12,3.8162
2025-06-13,3.8498
2025-06-16,3.8293
2025-06-17,3.8592
2025-06-18,3.8417
2025-06-20,3.8474
2025-06-23,3.838
2025-06-24,3.8098
2025-06-25,3.8011
2025-06-26,3.7991
2025-06-27,3.7958
2025-06-30,3.8008
2025-07-01,3.802
2025-07-02,3.7997
2025-07-03,3.7966
2025-07-07,3.8135
2025-07-08,3.8017
2025-07-09,3.7913
2025-07-10,3.7894
2025-07-11,3.7968
2025-07-14,3.8064
2025-07-15,3.8086
2025-07-16,3.8059
2025-07-17,3.7982
2025-07-18,3.7969
2025-07-21,3.7998
2025-07-22,3.798
2025-07-23,3.7844
2025-07-24,3.7847
2025-07-25,3.7792
2025-07-28,3.7804
2025-07-29,3.7918
2025-07-30,3.7858
2025-07-31,3.8006
2025-08-01,3.8446
2025-08-04,3.8102
2025-08-05,3.8142
2025-08-06,3.8012
2025-08-07,3.7988
2025-08-08,3.7818
2025-08-11,3.795
2025-08-12,3.7768
2025-08-13,3.7739
2025-08-14,3.778
2025-08-15,3.7811
2025-08-18,3.7799
2025-08-19,3.7868
2025-08-20,3.7883
2025-08-21,3.7992
2025-08-22,3.7706
2025-08-25,3.7775
2025-08-26,3.7754
2025-08-27,3.7782
2025-08-28,3.7732
2025-08-29,3.7843
2025-09-02,3.806
2025-09-03,3.7962
2025-09-04,3.7836
2025-09-05,3.7822
2025-09-08,3.7813
2025-09-09,3.7805
2025-09-10,3.7842
